OrderID,CustomerID,ProductID,Quantity,OrderDate,Price,SalesAmount,Month,YearMonth
5001,1100,110,5,2023-11-29,41290,206450,November,2023-11
5002,1059,132,4,2025-09-24,11594,46376,September,2025-09
5003,1508,134,1,2023-02-24,4090,4090,February,2023-02
5004,1258,120,3,2025-05-19,28893,86679,May,2025-05
5005,1413,102,1,2025-03-07,1060,1060,March,2025-03
5006,1452,101,3,2023-11-21,15995,47985,November,2023-11
5007,1065,136,2,2023-03-21,10827,21654,March,2023-03
5008,1595,124,2,2025-11-20,2947,5894,November,2025-11
5009,1154,127,5,2025-09-11,35973,179865,September,2025-09
5010,1985,102,2,2024-07-11,1060,2120,July,2024-07
5011,1266,131,5,2025-05-14,31751,158755,May,2025-05
5012,1821,114,1,2024-12-17,59935,59935,December,2024-12
5013,1079,102,2,2024-04-16,1060,2120,April,2024-04
5014,1315,129,1,2023-03-15,57086,57086,March,2023-03
5015,1662,115,1,2024-08-11,63155,63155,August,2024-08
5016,1947,112,2,2024-07-17,65020,130040,July,2024-07
5017,1560,128,1,2024-04-11,67635,67635,April,2024-04
5018,1917,120,2,2024-08-21,28893,57786,August,2024-08
5019,1891,124,2,2025-09-18,2947,5894,September,2025-09
5020,1248,121,2,2025-01-06,72132,144264,January,2025-01
5021,1790,110,3,2025-09-20,41290,123870,September,2025-09
5022,1868,114,1,2023-09-05,59935,59935,September,2023-09
5023,1610,118,4,2023-03-08,5511,22044,March,2023-03
5024,1414,124,2,2024-07-26,2947,5894,July,2024-07
5025,1025,114,1,2024-12-03,59935,59935,December,2024-12
5026,1284,134,5,2024-04-14,4090,20450,April,2024-04
5027,1449,112,2,2024-05-07,65020,130040,May,2024-05
5028,1881,122,2,2024-10-24,25858,51716,October,2024-10
5029,1301,106,4,2023-10-13,37394,149576,October,2023-10
5030,1068,136,3,2023-11-08,10827,32481,November,2023-11
5031,1007,136,3,2023-11-05,10827,32481,November,2023-11
5032,1817,122,2,2025-02-13,25858,51716,February,2025-02
5033,1137,114,1,2025-08-22,59935,59935,August,2025-08
5034,1164,116,5,2024-03-31,65125,325625,March,2024-03
5035,1083,136,5,2023-05-12,10827,54135,May,2023-05
5036,1897,125,1,2025-07-18,59350,59350,July,2025-07
5037,1650,132,2,2025-08-22,11594,23188,August,2025-08
5038,1420,133,5,2025-07-17,69292,346460,July,2025-07
5039,1073,136,3,2023-05-01,10827,32481,May,2023-05
5040,1237,120,1,2024-09-25,28893,28893,September,2024-09
5041,1046,118,4,2025-06-15,5511,22044,June,2025-06
5042,1618,103,2,2025-02-10,77020,154040,February,2025-02
5043,1928,123,1,2025-11-28,18631,18631,November,2025-11
5044,1800,132,5,2024-07-19,11594,57970,July,2024-07
5045,1262,116,2,2024-05-26,65125,130250,May,2024-05
5046,1176,105,3,2023-10-16,6465,19395,October,2023-10
5047,1166,104,2,2023-07-19,55086,110172,July,2023-07
5048,1657,121,2,2024-06-11,72132,144264,June,2024-06
5049,1842,114,3,2025-07-05,59935,179805,July,2025-07
5050,1370,131,3,2025-12-21,31751,95253,December,2025-12
5051,1795,114,2,2025-03-09,59935,119870,March,2025-03
5052,1054,106,3,2025-12-01,37394,112182,December,2025-12
5053,1690,112,1,2023-01-12,65020,65020,January,2023-01
5054,1419,116,3,2025-04-12,65125,195375,April,2025-04
5055,1756,117,3,2025-04-20,68169,204507,April,2025-04
5056,1507,123,2,2024-10-04,18631,37262,October,2024-10
5057,1341,114,1,2023-04-16,59935,59935,April,2023-04
5058,1127,107,4,2024-11-21,44331,177324,November,2024-11
5059,1409,132,4,2024-06-11,11594,46376,June,2024-06
5060,1924,115,5,2025-04-25,63155,315775,April,2025-04
5061,1367,117,3,2025-06-11,68169,204507,June,2025-06
5062,1271,134,3,2024-01-22,4090,12270,January,2024-01
5063,1644,105,1,2024-04-25,6465,6465,April,2024-04
5064,1605,127,4,2024-02-12,35973,143892,February,2024-02
5065,1379,123,5,2025-06-16,18631,93155,June,2025-06
5066,1073,114,1,2024-12-11,59935,59935,December,2024-12
5067,1923,115,3,2024-09-30,63155,189465,September,2024-09
5068,1922,133,4,2025-11-10,69292,277168,November,2025-11
5069,1915,131,5,2025-03-25,31751,158755,March,2025-03
5070,1248,135,2,2025-07-06,41806,83612,July,2025-07
5071,1860,117,4,2023-07-22,68169,272676,July,2023-07
5072,1785,128,5,2024-02-21,67635,338175,February,2024-02
5073,1043,119,1,2024-02-20,53907,53907,February,2024-02
5074,1377,123,2,2023-03-26,18631,37262,March,2023-03
5075,1041,132,5,2023-06-16,11594,57970,June,2023-06
5076,1170,113,5,2024-01-19,969,4845,January,2024-01
5077,1946,120,3,2024-04-12,28893,86679,April,2024-04
5078,1212,135,4,2025-12-31,41806,167224,December,2025-12
5079,1493,105,3,2025-03-20,6465,19395,March,2025-03
5080,1680,109,2,2025-09-23,16223,32446,September,2025-09
5081,1039,129,5,2024-04-17,57086,285430,April,2024-04
5082,1369,106,3,2025-09-19,37394,112182,September,2025-09
5083,1757,125,4,2023-10-02,59350,237400,October,2023-10
5084,1151,131,2,2025-11-09,31751,63502,November,2025-11
5085,1111,122,1,2024-05-04,25858,25858,May,2024-05
5086,1480,102,3,2023-11-22,1060,3180,November,2023-11
5087,1436,105,2,2024-06-12,6465,12930,June,2024-06
5088,1047,127,1,2025-06-10,35973,35973,June,2025-06
5089,1575,125,3,2023-03-30,59350,178050,March,2023-03
5090,1737,108,2,2024-04-30,60463,120926,April,2024-04
5091,1366,101,2,2024-12-08,15995,31990,December,2024-12
5092,1069,120,3,2023-12-16,28893,86679,December,2023-12
5093,1299,123,2,2024-01-22,18631,37262,January,2024-01
5094,1944,132,5,2023-03-28,11594,57970,March,2023-03
5095,1802,111,3,2023-11-03,67421,202263,November,2023-11
5096,1296,124,2,2024-03-15,2947,5894,March,2024-03
5097,1203,111,1,2025-01-09,67421,67421,January,2025-01
5098,1061,129,1,2023-09-21,57086,57086,September,2023-09
5099,1946,126,5,2025-09-03,65925,329625,September,2025-09
5100,1963,116,3,2025-01-04,65125,195375,January,2025-01
5101,1830,135,2,2024-02-25,41806,83612,February,2024-02
5102,1314,120,2,2024-05-07,28893,57786,May,2024-05
5103,1161,103,1,2024-09-24,77020,77020,September,2024-09
5104,1331,101,5,2025-09-19,15995,79975,September,2025-09
5105,1528,101,1,2024-02-15,15995,15995,February,2024-02
5106,1338,117,1,2023-06-22,68169,68169,June,2023-06
5107,1606,102,5,2023-01-04,1060,5300,January,2023-01
5108,1304,129,3,2025-05-03,57086,171258,May,2025-05
5109,1503,120,2,2025-09-12,28893,57786,September,2025-09
5110,1650,106,3,2025-11-26,37394,112182,November,2025-11
5111,1338,108,4,2024-08-05,60463,241852,August,2024-08
5112,1550,129,4,2025-11-20,57086,228344,November,2025-11
5113,1639,133,4,2024-01-16,69292,277168,January,2024-01
5114,1275,103,5,2025-10-31,77020,385100,October,2025-10
5115,1164,135,1,2023-12-10,41806,41806,December,2023-12
5116,1443,105,3,2023-06-15,6465,19395,June,2023-06
5117,1319,127,2,2024-11-30,35973,71946,November,2024-11
5118,1589,112,4,2023-12-08,65020,260080,December,2023-12
5119,1504,120,3,2025-11-08,28893,86679,November,2025-11
5120,1686,120,4,2025-09-06,28893,115572,September,2025-09
5121,1387,109,4,2024-06-28,16223,64892,June,2024-06
5122,1970,104,2,2025-10-30,55086,110172,October,2025-10
5123,1870,119,5,2023-07-11,53907,269535,July,2023-07
5124,1833,127,1,2023-11-16,35973,35973,November,2023-11
5125,1888,113,5,2024-08-02,969,4845,August,2024-08
5126,1603,113,3,2024-04-19,969,2907,April,2024-04
5127,1750,122,5,2024-09-28,25858,129290,September,2024-09
5128,1776,128,3,2024-03-02,67635,202905,March,2024-03
5129,1691,122,3,2025-12-18,25858,77574,December,2025-12
5130,1494,119,1,2023-04-07,53907,53907,April,2023-04
5131,1490,108,2,2024-05-10,60463,120926,May,2024-05
5132,1721,108,1,2024-10-22,60463,60463,October,2024-10
5133,1073,126,5,2023-01-09,65925,329625,January,2023-01
5134,1509,126,3,2024-04-01,65925,197775,April,2024-04
5135,1390,123,4,2023-09-30,18631,74524,September,2023-09
5136,1619,113,4,2025-07-28,969,3876,July,2025-07
5137,1857,128,3,2025-10-28,67635,202905,October,2025-10
5138,1295,109,1,2023-07-27,16223,16223,July,2023-07
5139,1369,120,2,2025-11-22,28893,57786,November,2025-11
